track,artist,date,est_time,ist_time,iso_time,genre,length_ms
ODD FUTURE,UVERworld,2024-11-19,2024-11-18 21:05:42.341000-05:00,2024-11-19 07:35:42.341000+05:30,2024-11-19T02:05:42.341Z,"anime, j-pop, j-poprock, j-rock",226.493
Barricades,Hiroyuki Sawano,2024-11-19,2024-11-18 21:09:24.264000-05:00,2024-11-19 07:39:24.264000+05:30,2024-11-19T02:09:24.264Z,"anime score, japanese soundtrack",221.426
"Kho Gaye Hum Kahan - From ""Kho Gaye Hum Kahan""",Achint,2024-11-19,2024-11-18 21:13:52.887000-05:00,2024-11-19 07:43:52.887000+05:30,2024-11-19T02:13:52.887Z,"indian folk, indian indie",217.681
Igloo,KISS OF LIFE,2024-11-19,2024-11-18 22:57:04.827000-05:00,2024-11-19 09:27:04.827000+05:30,2024-11-19T03:57:04.827Z,"5th gen k-pop, k-pop girl group",131.786
Algorithm,CHUNG HA,2024-11-19,2024-11-18 22:59:32.788000-05:00,2024-11-19 09:29:32.788000+05:30,2024-11-19T03:59:32.788Z,k-pop,147.443
ABCD,NAYEON,2024-11-19,2024-11-18 23:02:16.109000-05:00,2024-11-19 09:32:16.109000+05:30,2024-11-19T04:02:16.109Z,k-pop,162.84
1-800-hot-n-fun,LE SSERAFIM,2024-11-19,2024-11-18 23:05:10.051000-05:00,2024-11-19 09:35:10.051000+05:30,2024-11-19T04:05:10.051Z,k-pop girl group,173.431
Dopamine - GISELLE Solo,aespa,2024-11-19,2024-11-18 23:08:24.644000-05:00,2024-11-19 09:38:24.644000+05:30,2024-11-19T04:08:24.644Z,k-pop girl group,194.093
UP - KARINA Solo,aespa,2024-11-19,2024-11-18 23:11:11.773000-05:00,2024-11-19 09:41:11.773000+05:30,2024-11-19T04:11:11.773Z,k-pop girl group,166.64
DRIP,BABYMONSTER,2024-11-19,2024-11-18 23:14:13.142000-05:00,2024-11-19 09:44:13.142000+05:30,2024-11-19T04:14:13.142Z,5th gen k-pop,180.845
Imaginary Friend,ITZY,2024-11-19,2024-11-18 23:17:36.058000-05:00,2024-11-19 09:47:36.058000+05:30,2024-11-19T04:17:36.058Z,"k-pop, k-pop girl group",202.429
Bloom,BOL4,2024-11-19,2024-11-18 23:20:45.887000-05:00,2024-11-19 09:50:45.887000+05:30,2024-11-19T04:20:45.887Z,k-pop,189.335
Illusion,aespa,2024-11-19,2024-11-18 23:24:01.442000-05:00,2024-11-19 09:54:01.442000+05:30,2024-11-19T04:24:01.442Z,k-pop girl group,195.053
O.O,NMIXX,2024-11-19,2024-11-18 23:26:54.880000-05:00,2024-11-19 09:56:54.880000+05:30,2024-11-19T04:26:54.880Z,"k-pop, k-pop girl group",172.936
Goodbye Winter,DAY6,2024-11-19,2024-11-18 23:30:02.712000-05:00,2024-11-19 10:00:02.712000+05:30,2024-11-19T04:30:02.712Z,"k-pop, k-pop boy group",187.32
EASY,LE SSERAFIM,2024-11-19,2024-11-18 23:32:47.744000-05:00,2024-11-19 10:02:47.744000+05:30,2024-11-19T04:32:47.744Z,k-pop girl group,164.545
Egotistic,MAMAMOO,2024-11-19,2024-11-18 23:36:03.497000-05:00,2024-11-19 10:06:03.497000+05:30,2024-11-19T04:36:03.497Z,"k-pop, k-pop girl group",196.018
O.O,NMIXX,2024-11-19,2024-11-19 14:34:47.997000-05:00,2024-11-20 01:04:47.997000+05:30,2024-11-19T19:34:47.997Z,"k-pop, k-pop girl group",172.936
O.O,NMIXX,2024-11-19,2024-11-19 14:38:45.524000-05:00,2024-11-20 01:08:45.524000+05:30,2024-11-19T19:38:45.524Z,"k-pop, k-pop girl group",172.936
ABCD,NAYEON,2024-11-19,2024-11-19 14:41:28.850000-05:00,2024-11-20 01:11:28.850000+05:30,2024-11-19T19:41:28.850Z,k-pop,162.84
I Need U,BTS,2024-11-19,2024-11-19 14:45:00.351000-05:00,2024-11-20 01:15:00.351000+05:30,2024-11-19T19:45:00.351Z,"k-pop, k-pop boy group, pop",210.986
To My Youth,BOL4,2024-11-19,2024-11-19 14:48:43.504000-05:00,2024-11-20 01:18:43.504000+05:30,2024-11-19T19:48:43.504Z,k-pop,222.68
Dopamine - GISELLE Solo,aespa,2024-11-19,2024-11-19 14:51:58.138000-05:00,2024-11-20 01:21:58.138000+05:30,2024-11-19T19:51:58.138Z,k-pop girl group,194.093
Igloo,KISS OF LIFE,2024-11-19,2024-11-19 14:54:10.390000-05:00,2024-11-20 01:24:10.390000+05:30,2024-11-19T19:54:10.390Z,"5th gen k-pop, k-pop girl group",131.786
