track,artist,date,est_time,ist_time,iso_time,genre,length_ms
Gravity,EDEN,2024-12-30,2024-12-29 21:38:07.412000-05:00,2024-12-30 08:08:07.412000+05:30,2024-12-30T02:38:07.412Z,indie poptimism,230.511
That’s So True,Gracie Abrams,2024-12-30,2024-12-29 22:56:53.906000-05:00,2024-12-30 09:26:53.906000+05:30,2024-12-30T03:56:53.906Z,alt z,166.3
Igloo,KISS OF LIFE,2024-12-30,2024-12-29 23:44:58.896000-05:00,2024-12-30 10:14:58.896000+05:30,2024-12-30T04:44:58.896Z,"5th gen k-pop, k-pop girl group",131.786
1-800-hot-n-fun,LE SSERAFIM,2024-12-30,2024-12-29 23:47:52.827000-05:00,2024-12-30 10:17:52.827000+05:30,2024-12-30T04:47:52.827Z,k-pop girl group,173.431
EASY,LE SSERAFIM,2024-12-30,2024-12-29 23:50:37.875000-05:00,2024-12-30 10:20:37.875000+05:30,2024-12-30T04:50:37.875Z,k-pop girl group,164.545
ABCD,NAYEON,2024-12-30,2024-12-29 23:53:21.205000-05:00,2024-12-30 10:23:21.205000+05:30,2024-12-30T04:53:21.205Z,k-pop,162.84
Bloom,BOL4,2024-12-30,2024-12-29 23:56:31.025000-05:00,2024-12-30 10:26:31.025000+05:30,2024-12-30T04:56:31.025Z,k-pop,189.335
Algorithm,CHUNG HA,2024-12-30,2024-12-29 23:58:58.972000-05:00,2024-12-30 10:28:58.972000+05:30,2024-12-30T04:58:58.972Z,k-pop,147.443
해야 (HEYA),IVE,2024-12-30,2024-12-30 00:02:09.165000-05:00,2024-12-30 10:32:09.165000+05:30,2024-12-30T05:02:09.165Z,k-pop girl group,189.68
DRIP,BABYMONSTER,2024-12-30,2024-12-30 00:05:10.516000-05:00,2024-12-30 10:35:10.516000+05:30,2024-12-30T05:05:10.516Z,5th gen k-pop,180.845
UP - KARINA Solo,aespa,2024-12-30,2024-12-30 00:07:57.650000-05:00,2024-12-30 10:37:57.650000+05:30,2024-12-30T05:07:57.650Z,k-pop girl group,166.64
Imaginary Friend,ITZY,2024-12-30,2024-12-30 00:11:20.565000-05:00,2024-12-30 10:41:20.565000+05:30,2024-12-30T05:11:20.565Z,"k-pop, k-pop girl group",202.429
Illusion,aespa,2024-12-30,2024-12-30 00:14:36.146000-05:00,2024-12-30 10:44:36.146000+05:30,2024-12-30T05:14:36.146Z,k-pop girl group,195.053
O.O,NMIXX,2024-12-30,2024-12-30 00:17:29.575000-05:00,2024-12-30 10:47:29.575000+05:30,2024-12-30T05:17:29.575Z,"k-pop, k-pop girl group",172.936
Dopamine - GISELLE Solo,aespa,2024-12-30,2024-12-30 00:20:44.141000-05:00,2024-12-30 10:50:44.141000+05:30,2024-12-30T05:20:44.141Z,k-pop girl group,194.093
Goodbye Winter,DAY6,2024-12-30,2024-12-30 00:23:51.986000-05:00,2024-12-30 10:53:51.986000+05:30,2024-12-30T05:23:51.986Z,"k-pop, k-pop boy group",187.32
Egotistic,MAMAMOO,2024-12-30,2024-12-30 00:27:08.493000-05:00,2024-12-30 10:57:08.493000+05:30,2024-12-30T05:27:08.493Z,"k-pop, k-pop girl group",196.018
Rock with you,SEVENTEEN,2024-12-30,2024-12-30 00:30:09.359000-05:00,2024-12-30 11:00:09.359000+05:30,2024-12-30T05:30:09.359Z,"k-pop, k-pop boy group",180.36
WANNABE,ITZY,2024-12-30,2024-12-30 00:33:21.097000-05:00,2024-12-30 11:03:21.097000+05:30,2024-12-30T05:33:21.097Z,"k-pop, k-pop girl group",191.242
LOVE DIVE,IVE,2024-12-30,2024-12-30 00:36:18.777000-05:00,2024-12-30 11:06:18.777000+05:30,2024-12-30T05:36:18.777Z,k-pop girl group,177.186
Boy With Luv (feat. Halsey),"BTS, Halsey",2024-12-30,2024-12-30 00:39:10.475000-05:00,2024-12-30 11:09:10.475000+05:30,2024-12-30T05:39:10.475Z,k-pop,229.773
Appassionata,Bae Bo Ram,2024-12-30,2024-12-30 14:45:50.681000-05:00,2024-12-31 01:15:50.681000+05:30,2024-12-30T19:45:50.681Z,korean soundtrack,131.712
Ma Meilleure Ennemie (from the series Arcane League of Legends),"Stromae, Pomme, Arcane",2024-12-30,2024-12-30 14:48:19.342000-05:00,2024-12-31 01:18:19.342000+05:30,2024-12-30T19:48:19.342Z,,147.973
Empty Space,Lim Seung Beom,2024-12-30,2024-12-30 14:50:26.522000-05:00,2024-12-31 01:20:26.522000+05:30,2024-12-30T19:50:26.522Z,korean soundtrack,239.108
Empty Space,Lim Seung Beom,2024-12-31,2024-12-30 19:41:25.052000-05:00,2024-12-31 06:11:25.052000+05:30,2024-12-31T00:41:25.052Z,korean soundtrack,239.108
Spring's Melody,Torby Brand,2024-12-31,2024-12-30 19:43:52.608000-05:00,2024-12-31 06:13:52.608000+05:30,2024-12-31T00:43:52.608Z,anime piano,147.079
Kabira (Encore),"Pritam, Harshdeep Kaur, Arijit Singh",2024-12-31,2024-12-30 19:48:23.580000-05:00,2024-12-31 06:18:23.580000+05:30,2024-12-31T00:48:23.580Z,"bollywood, hindi pop, desi, sufi",270.438
"Good Luck, Babe!",Chappell Roan,2024-12-31,2024-12-30 19:52:02.483000-05:00,2024-12-31 06:22:02.483000+05:30,2024-12-31T00:52:02.483Z,indie pop,218.423
Close To You,Gracie Abrams,2024-12-31,2024-12-30 23:08:14.658000-05:00,2024-12-31 09:38:14.658000+05:30,2024-12-31T04:08:14.658Z,alt z,225.973
Like a Prayer,Madonna,2024-12-31,2024-12-31 16:28:14.862000-05:00,2025-01-01 02:58:14.862000+05:30,2024-12-31T21:28:14.862Z,"dance pop, pop",342.68
Like a Prayer - Choir Version From “Deadpool & Wolverine”,I'll Take You There Choir,2024-12-31,2024-12-31 16:31:14.528000-05:00,2025-01-01 03:01:14.528000+05:30,2024-12-31T21:31:14.528Z,,152.893
That’s So True,Gracie Abrams,2024-12-31,2024-12-31 16:34:01.260000-05:00,2025-01-01 03:04:01.260000+05:30,2024-12-31T21:34:01.260Z,alt z,166.3
What Have They Done To Us (from the series Arcane League of Legends),"Arcane, Mako, Grey",2024-12-31,2024-12-31 16:36:40.062000-05:00,2025-01-01 03:06:40.062000+05:30,2024-12-31T21:36:40.062Z,,119.16
2016 World Championship Theme,League of Legends,2024-12-31,2024-12-31 16:39:56.384000-05:00,2025-01-01 03:09:56.384000+05:30,2024-12-31T21:39:56.384Z,"speedrun, video game music",195.796
1-800-hot-n-fun,LE SSERAFIM,2025-01-01,2025-01-01 00:56:47.205000-05:00,2025-01-01 11:26:47.205000+05:30,2025-01-01T05:56:47.205Z,k-pop girl group,173.431
ABCD,NAYEON,2025-01-01,2025-01-01 00:59:30.533000-05:00,2025-01-01 11:29:30.533000+05:30,2025-01-01T05:59:30.533Z,k-pop,162.84
