track,artist,date,est_time,ist_time,iso_time
Drawer,10CM,2025-06-08,2025-06-08 13:41:28.011000-04:00,2025-06-08 23:11:28.011000+05:30,2025-06-08T17:41:28.011Z
I'm a Kid,Jadu Heart,2025-06-08,2025-06-08 13:45:15.525000-04:00,2025-06-08 23:15:15.525000+05:30,2025-06-08T17:45:15.525Z
anemone,slenderbodies,2025-06-08,2025-06-08 13:49:05.084000-04:00,2025-06-08 23:19:05.084000+05:30,2025-06-08T17:49:05.084Z
Feel Something,Jaymes Young,2025-06-08,2025-06-08 17:04:32.869000-04:00,2025-06-09 02:34:32.869000+05:30,2025-06-08T21:04:32.869Z
Bubblegum Bitch,MARINA,2025-06-08,2025-06-08 17:07:44.617000-04:00,2025-06-09 02:37:44.617000+05:30,2025-06-08T21:07:44.617Z
Toosie Slide,Drake,2025-06-08,2025-06-08 17:37:46.973000-04:00,2025-06-09 03:07:46.973000+05:30,2025-06-08T21:37:46.973Z
Life Is Good (feat. Drake),"Future, Drake",2025-06-08,2025-06-08 17:41:45.865000-04:00,2025-06-09 03:11:45.865000+05:30,2025-06-08T21:41:45.865Z
Igloo,KISS OF LIFE,2025-06-08,2025-06-08 17:46:52.625000-04:00,2025-06-09 03:16:52.625000+05:30,2025-06-08T21:46:52.625Z
Don't Leave,"Tom Frane, RJ Pasin",2025-06-08,2025-06-08 17:49:55.115000-04:00,2025-06-09 03:19:55.115000+05:30,2025-06-08T21:49:55.115Z
willow,Taylor Swift,2025-06-08,2025-06-08 18:11:15.933000-04:00,2025-06-09 03:41:15.933000+05:30,2025-06-08T22:11:15.933Z
Phase Me,WOOSUNG,2025-06-08,2025-06-08 18:13:50.410000-04:00,2025-06-09 03:43:50.410000+05:30,2025-06-08T22:13:50.410Z
Zzz,EDEN,2025-06-08,2025-06-08 18:16:51.303000-04:00,2025-06-09 03:46:51.303000+05:30,2025-06-08T22:16:51.303Z
São Paulo (feat. Anitta),"The Weeknd, Anitta",2025-06-08,2025-06-08 18:21:53.110000-04:00,2025-06-09 03:51:53.110000+05:30,2025-06-08T22:21:53.110Z
ABCD,NAYEON,2025-06-08,2025-06-08 18:24:36.856000-04:00,2025-06-09 03:54:36.856000+05:30,2025-06-08T22:24:36.856Z
Bloody Mary - Instrumental Slowed,ceZk,2025-06-08,2025-06-08 18:27:02.351000-04:00,2025-06-09 03:57:02.351000+05:30,2025-06-08T22:27:02.351Z
Heat Waves - Slowed,Glass Animals,2025-06-08,2025-06-08 18:31:31.398000-04:00,2025-06-09 04:01:31.398000+05:30,2025-06-08T22:31:31.398Z
Manasha - Slowed,"Ashreveal, Ashish Swargiary",2025-06-08,2025-06-08 18:33:37.290000-04:00,2025-06-09 04:03:37.290000+05:30,2025-06-08T22:33:37.290Z
Give Me a Kiss,Crash Adams,2025-06-08,2025-06-08 18:36:27.337000-04:00,2025-06-09 04:06:27.337000+05:30,2025-06-08T22:36:27.337Z
