track,artist,date,est_time,ist_time,iso_time
ODD FUTURE,UVERworld,2024-11-19,2024-11-18 21:05:42.341000-05:00,2024-11-19 07:35:42.341000+05:30,2024-11-19T02:05:42.341Z
Barricades,Hiroyuki Sawano,2024-11-19,2024-11-18 21:09:24.264000-05:00,2024-11-19 07:39:24.264000+05:30,2024-11-19T02:09:24.264Z
"Kho Gaye Hum Kahan - From ""Kho Gaye Hum Kahan""",Achint,2024-11-19,2024-11-18 21:13:52.887000-05:00,2024-11-19 07:43:52.887000+05:30,2024-11-19T02:13:52.887Z
Igloo,KISS OF LIFE,2024-11-19,2024-11-18 22:57:04.827000-05:00,2024-11-19 09:27:04.827000+05:30,2024-11-19T03:57:04.827Z
Algorithm,CHUNG HA,2024-11-19,2024-11-18 22:59:32.788000-05:00,2024-11-19 09:29:32.788000+05:30,2024-11-19T03:59:32.788Z
ABCD,NAYEON,2024-11-19,2024-11-18 23:02:16.109000-05:00,2024-11-19 09:32:16.109000+05:30,2024-11-19T04:02:16.109Z
1-800-hot-n-fun,LE SSERAFIM,2024-11-19,2024-11-18 23:05:10.051000-05:00,2024-11-19 09:35:10.051000+05:30,2024-11-19T04:05:10.051Z
Dopamine - GISELLE Solo,aespa,2024-11-19,2024-11-18 23:08:24.644000-05:00,2024-11-19 09:38:24.644000+05:30,2024-11-19T04:08:24.644Z
UP - KARINA Solo,aespa,2024-11-19,2024-11-18 23:11:11.773000-05:00,2024-11-19 09:41:11.773000+05:30,2024-11-19T04:11:11.773Z
DRIP,BABYMONSTER,2024-11-19,2024-11-18 23:14:13.142000-05:00,2024-11-19 09:44:13.142000+05:30,2024-11-19T04:14:13.142Z
Imaginary Friend,ITZY,2024-11-19,2024-11-18 23:17:36.058000-05:00,2024-11-19 09:47:36.058000+05:30,2024-11-19T04:17:36.058Z
Bloom,BOL4,2024-11-19,2024-11-18 23:20:45.887000-05:00,2024-11-19 09:50:45.887000+05:30,2024-11-19T04:20:45.887Z
Illusion,aespa,2024-11-19,2024-11-18 23:24:01.442000-05:00,2024-11-19 09:54:01.442000+05:30,2024-11-19T04:24:01.442Z
O.O,NMIXX,2024-11-19,2024-11-18 23:26:54.880000-05:00,2024-11-19 09:56:54.880000+05:30,2024-11-19T04:26:54.880Z
Goodbye Winter,DAY6,2024-11-19,2024-11-18 23:30:02.712000-05:00,2024-11-19 10:00:02.712000+05:30,2024-11-19T04:30:02.712Z
EASY,LE SSERAFIM,2024-11-19,2024-11-18 23:32:47.744000-05:00,2024-11-19 10:02:47.744000+05:30,2024-11-19T04:32:47.744Z
Egotistic,MAMAMOO,2024-11-19,2024-11-18 23:36:03.497000-05:00,2024-11-19 10:06:03.497000+05:30,2024-11-19T04:36:03.497Z
O.O,NMIXX,2024-11-19,2024-11-19 14:34:47.997000-05:00,2024-11-20 01:04:47.997000+05:30,2024-11-19T19:34:47.997Z
O.O,NMIXX,2024-11-19,2024-11-19 14:38:45.524000-05:00,2024-11-20 01:08:45.524000+05:30,2024-11-19T19:38:45.524Z
ABCD,NAYEON,2024-11-19,2024-11-19 14:41:28.850000-05:00,2024-11-20 01:11:28.850000+05:30,2024-11-19T19:41:28.850Z
I Need U,BTS,2024-11-19,2024-11-19 14:45:00.351000-05:00,2024-11-20 01:15:00.351000+05:30,2024-11-19T19:45:00.351Z
To My Youth,BOL4,2024-11-19,2024-11-19 14:48:43.504000-05:00,2024-11-20 01:18:43.504000+05:30,2024-11-19T19:48:43.504Z
Dopamine - GISELLE Solo,aespa,2024-11-19,2024-11-19 14:51:58.138000-05:00,2024-11-20 01:21:58.138000+05:30,2024-11-19T19:51:58.138Z
Igloo,KISS OF LIFE,2024-11-19,2024-11-19 14:54:10.390000-05:00,2024-11-20 01:24:10.390000+05:30,2024-11-19T19:54:10.390Z
EASY,LE SSERAFIM,2024-11-19,2024-11-19 14:56:55.461000-05:00,2024-11-20 01:26:55.461000+05:30,2024-11-19T19:56:55.461Z
Algorithm,CHUNG HA,2024-11-19,2024-11-19 14:59:23.385000-05:00,2024-11-20 01:29:23.385000+05:30,2024-11-19T19:59:23.385Z
UP - KARINA Solo,aespa,2024-11-19,2024-11-19 15:02:10.523000-05:00,2024-11-20 01:32:10.523000+05:30,2024-11-19T20:02:10.523Z
DRIP,BABYMONSTER,2024-11-19,2024-11-19 15:05:11.868000-05:00,2024-11-20 01:35:11.868000+05:30,2024-11-19T20:05:11.868Z
Bloom,BOL4,2024-11-19,2024-11-19 15:08:21.726000-05:00,2024-11-20 01:38:21.726000+05:30,2024-11-19T20:08:21.726Z
1-800-hot-n-fun,LE SSERAFIM,2024-11-19,2024-11-19 15:11:15.645000-05:00,2024-11-20 01:41:15.645000+05:30,2024-11-19T20:11:15.645Z
WANNABE,ITZY,2024-11-19,2024-11-19 15:11:23.094000-05:00,2024-11-20 01:41:23.094000+05:30,2024-11-19T20:11:23.094Z
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2024-11-19,2024-11-19 16:21:31.731000-05:00,2024-11-20 02:51:31.731000+05:30,2024-11-19T21:21:31.731Z
千年之戀,F.I.R.,2024-11-19,2024-11-19 16:25:20.410000-05:00,2024-11-20 02:55:20.410000+05:30,2024-11-19T21:25:20.410Z
Lucky Strike,Maroon 5,2024-11-19,2024-11-19 16:28:26.191000-05:00,2024-11-20 02:58:26.191000+05:30,2024-11-19T21:28:26.191Z
Lost,Maroon 5,2024-11-19,2024-11-19 16:31:19.290000-05:00,2024-11-20 03:01:19.290000+05:30,2024-11-19T21:31:19.290Z
Maneater,Nelly Furtado,2024-11-19,2024-11-19 16:35:38.694000-05:00,2024-11-20 03:05:38.694000+05:30,2024-11-19T21:35:38.694Z
Run Away,TZUYU,2024-11-19,2024-11-19 16:36:17.636000-05:00,2024-11-20 03:06:17.636000+05:30,2024-11-19T21:36:17.636Z
For Love,10CM,2024-11-20,2024-11-19 20:01:56.994000-05:00,2024-11-20 06:31:56.994000+05:30,2024-11-20T01:01:56.994Z
Doubt,Twenty One Pilots,2024-11-20,2024-11-19 20:05:08.975000-05:00,2024-11-20 06:35:08.975000+05:30,2024-11-20T01:05:08.975Z
One of the Drunks,Panic! At The Disco,2024-11-20,2024-11-19 20:08:28.443000-05:00,2024-11-20 06:38:28.443000+05:30,2024-11-20T01:08:28.443Z
Igloo,KISS OF LIFE,2024-11-20,2024-11-19 20:15:08.822000-05:00,2024-11-20 06:45:08.822000+05:30,2024-11-20T01:15:08.822Z
Algorithm,CHUNG HA,2024-11-20,2024-11-19 20:17:36.773000-05:00,2024-11-20 06:47:36.773000+05:30,2024-11-20T01:17:36.773Z
ABCD,NAYEON,2024-11-20,2024-11-19 20:59:26.727000-05:00,2024-11-20 07:29:26.727000+05:30,2024-11-20T01:59:26.727Z
Bags,Clairo,2024-11-20,2024-11-19 22:53:47.098000-05:00,2024-11-20 09:23:47.098000+05:30,2024-11-20T03:53:47.098Z
Fucked Up,Bahari,2024-11-20,2024-11-19 22:57:27.518000-05:00,2024-11-20 09:27:27.518000+05:30,2024-11-20T03:57:27.518Z
drivers license,Olivia Rodrigo,2024-11-20,2024-11-19 23:01:30.020000-05:00,2024-11-20 09:31:30.020000+05:30,2024-11-20T04:01:30.020Z
start//end,EDEN,2024-11-20,2024-11-19 23:07:04.518000-05:00,2024-11-20 09:37:04.518000+05:30,2024-11-20T04:07:04.518Z
Wake Up,EDEN,2024-11-20,2024-11-19 23:11:44.831000-05:00,2024-11-20 09:41:44.831000+05:30,2024-11-20T04:11:44.831Z
Gravity,EDEN,2024-11-20,2024-11-19 23:15:35.822000-05:00,2024-11-20 09:45:35.822000+05:30,2024-11-20T04:15:35.822Z
End Credits,EDEN,2024-11-20,2024-11-19 23:19:36.816000-05:00,2024-11-20 09:49:36.816000+05:30,2024-11-20T04:19:36.816Z
That’s So True,Gracie Abrams,2024-11-20,2024-11-19 23:22:23.520000-05:00,2024-11-20 09:52:23.520000+05:30,2024-11-20T04:22:23.520Z
Remember That Night?,Sara Kays,2024-11-20,2024-11-19 23:26:11.205000-05:00,2024-11-20 09:56:11.205000+05:30,2024-11-20T04:26:11.205Z
This is Mine,LEE SEUNG YOON,2024-11-20,2024-11-19 23:32:11.641000-05:00,2024-11-20 10:02:11.641000+05:30,2024-11-20T04:32:11.641Z
사랑해요,김형섭,2024-11-20,2024-11-19 23:38:50.627000-05:00,2024-11-20 10:08:50.627000+05:30,2024-11-20T04:38:50.627Z
I am firefly,Kim Ho Jeong,2024-11-20,2024-11-19 23:42:37.822000-05:00,2024-11-20 10:12:37.822000+05:30,2024-11-20T04:42:37.822Z
Judas,Lady Gaga,2024-11-20,2024-11-19 23:46:45.983000-05:00,2024-11-20 10:16:45.983000+05:30,2024-11-20T04:46:45.983Z
Мало тебя,SEREBRO,2024-11-20,2024-11-19 23:50:31.937000-05:00,2024-11-20 10:20:31.937000+05:30,2024-11-20T04:50:31.937Z
